Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Sc-24-a_S1_R1_001	67.15595179524564	44.0	76.0	76	9.090909090909092	15496120.0
Sc-24-c_S18_R1_001	69.63730558842387	42.0	76.0	76	9.090909090909092	16057264.0
Sc-24-e_S16_R1_001	64.87860883071355	44.0	76.0	76	9.090909090909092	18684752.0
Sc-2A-a_S4_R1_001	63.04459456463087	45.0	76.0	76	9.090909090909092	12961468.0
Sc-2A-b_S5_R1_001	61.80598383527119	44.0	76.0	76	9.090909090909092	14298874.0
Sc-2A-c_S6_R1_001	63.143840362729236	46.0	76.0	76	9.090909090909092	15519780.0
Sc-4J-a_S2_R1_001	63.70745418287044	46.0	76.0	76	9.090909090909092	14633550.0
Sc-4J-b_S3_R1_001	65.99567014846546	46.0	76.0	76	9.090909090909092	13446511.0
Sc-4J-e_S17_R1_001	69.34996608635174	43.0	76.0	76	9.090909090909092	14207707.0
Undetermined_S0_R1_001	65.72336187917844	44.0	76.0	76	18.181818181818183	10727088.0
WT-24-a_S7_R1_001	62.19597924164831	45.0	76.0	76	9.090909090909092	13355653.0
WT-24-c_S8_R1_001	65.06001258018006	45.0	76.0	76	9.090909090909092	16285456.0
WT-24-d_S14_R1_001	66.67061564847741	44.0	76.0	76	9.090909090909092	16500353.0
WT-2A-a_S11_R1_001	62.600406554629764	44.0	76.0	76	9.090909090909092	14294393.0
WT-2A-b_S12_R1_001	66.63510954093704	45.0	76.0	76	9.090909090909092	17588010.0
WT-2A-c_S13_R1_001	63.27655481598625	44.0	76.0	76	9.090909090909092	14276042.0
WT-4J-b_S9_R1_001	68.85991214126311	46.0	76.0	76	9.090909090909092	17008470.0
WT-4J-c_S10_R1_001	65.25707249228503	46.0	76.0	76	9.090909090909092	14102150.0
WT-4J-d_S15_R1_001	66.37121296543502	45.0	76.0	76	9.090909090909092	15703296.0
