Module	Section	Sample Name	Source
FastQC	all_sections	WT-4J-b_S9_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-4J-b_S9_R1_001_fastqc.zip
FastQC	all_sections	WT-4J-d_S15_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-4J-d_S15_R1_001_fastqc.zip
FastQC	all_sections	WT-2A-a_S11_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-2A-a_S11_R1_001_fastqc.zip
FastQC	all_sections	WT-24-d_S14_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-24-d_S14_R1_001_fastqc.zip
FastQC	all_sections	Undetermined_S0_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Undetermined_S0_R1_001_fastqc.zip
FastQC	all_sections	Sc-4J-a_S2_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-4J-a_S2_R1_001_fastqc.zip
FastQC	all_sections	Sc-2A-c_S6_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-2A-c_S6_R1_001_fastqc.zip
FastQC	all_sections	Sc-24-c_S18_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-24-c_S18_R1_001_fastqc.zip
FastQC	all_sections	Sc-2A-b_S5_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-2A-b_S5_R1_001_fastqc.zip
FastQC	all_sections	WT-2A-c_S13_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-2A-c_S13_R1_001_fastqc.zip
FastQC	all_sections	Sc-4J-b_S3_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-4J-b_S3_R1_001_fastqc.zip
FastQC	all_sections	Sc-4J-e_S17_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-4J-e_S17_R1_001_fastqc.zip
FastQC	all_sections	Sc-2A-a_S4_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-2A-a_S4_R1_001_fastqc.zip
FastQC	all_sections	Sc-24-e_S16_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-24-e_S16_R1_001_fastqc.zip
FastQC	all_sections	Sc-24-a_S1_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/Sc-24-a_S1_R1_001_fastqc.zip
FastQC	all_sections	WT-2A-b_S12_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-2A-b_S12_R1_001_fastqc.zip
FastQC	all_sections	WT-24-a_S7_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-24-a_S7_R1_001_fastqc.zip
FastQC	all_sections	WT-4J-c_S10_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-4J-c_S10_R1_001_fastqc.zip
FastQC	all_sections	WT-24-c_S8_R1_001	/Users/isabelthompson/Library/CloudStorage/GoogleDrive-ithomps3@nd.edu/My Drive/Bioinformatics/QC_Module_1/DAP_CURE/fastqc_output/WT-24-c_S8_R1_001_fastqc.zip
