Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
Sc-24-a_S1_1.final	63.2146930907	44.0	75.3939483273	15227261.0	9.09090909091
Sc-24-c_S18_1.final	66.0695776178	42.0	75.4053693564	15752577.0	9.09090909091
Sc-24-e_S16_1.final	60.7919872481	44.0	75.4110012171	18226856.0	9.09090909091
Sc-2A-a_S4_1.final	59.2033128176	45.0	75.4239503459	12640235.0	9.09090909091
Sc-2A-b_S5_1.final	57.6669277109	44.0	75.4120859562	14051350.0	9.09090909091
Sc-2A-c_S6_1.final	58.7207915661	46.0	75.4027305373	15222938.0	9.09090909091
Sc-4J-a_S2_1.final	59.2809564686	46.0	75.3933567096	14378387.0	9.09090909091
Sc-4J-b_S3_1.final	61.7038157979	46.0	75.4101554644	13202055.0	9.09090909091
Sc-4J-e_S17_1.final	65.6546453138	43.0	75.4358990347	13952637.0	9.09090909091
Undetermined_S0_1.final	67.4289894807	44.0	75.0237362319	9686963.0	9.09090909091
WT-24-a_S7_1.final	57.8103489387	45.0	75.3898843066	13106447.0	9.09090909091
WT-24-c_S8_1.final	60.5796784734	45.0	75.372672561	15978292.0	9.09090909091
WT-24-d_S14_1.final	62.6618765973	44.0	75.4059687416	16154628.0	9.09090909091
WT-2A-a_S11_1.final	58.2621833152	44.0	75.3863613738	13942548.0	9.09090909091
WT-2A-b_S12_1.final	62.5232028606	45.0	75.4052552632	17191451.0	9.09090909091
